ms,T_rawC,T_filtC,u_PID_pct,SP_C,Fan_in_pct,Fan_out_pct,safety,u_delay_us,gate
1374,26.52,26.31,25,26,99.8,99.8,0,7500,1
2384,26.29,26.34,25,26,100,100,0,7500,1
3394,26.34,26.34,25,26,100,100,0,7500,1
4404,25.78,26.34,25,26,100,100,0,7500,1
5414,26.68,26.34,25,26,100,100,0,7500,1
6424,26.86,26.38,25,26,100,100,0,7500,1
7434,26.37,26.47,25,26,100,100,0,7500,1
8444,26.44,26.48,25,26,100,100,0,7500,1
9454,26.5,26.53,25,26,100,100,0,7500,1
10464,27.06,26.57,25,26,100,100,0,7500,1
11474,27.47,26.64,25,26,100,100,0,7500,1
12484,27.19,26.73,25,26,100,100,0,7500,1
13494,27.13,26.84,25,26,100,100,0,7500,1
14504,27.21,26.9,25,26,100,100,0,7500,1
15514,27.41,26.99,25,26,100,100,0,7500,1
16524,26.76,27,25,26,100,100,0,7500,1
17534,26.91,26.95,25,26,100,100,0,7500,1
18544,27.01,26.94,25,26,100,100,0,7500,1
19554,26.83,26.92,25,26,100,100,0,7500,1
20564,26.3,26.86,25,26,100,100,0,7500,1
21574,26.76,26.78,25,26,100,100,0,7500,1
22584,27.05,26.76,25,26,100,100,0,7500,1
23594,26.77,26.78,25,26,100,100,0,7500,1
24604,26.49,26.78,25,26,100,100,0,7500,1
25614,26.72,26.76,25,26,100,100,0,7500,1
26624,27.26,26.74,25,26,100,100,0,7500,1
27634,26.34,26.73,25,26,100,100,0,7500,1
28644,26.18,26.64,25,26,100,100,0,7500,1
29654,26.31,26.58,25,26,100,100,0,7500,1
30664,26.27,26.51,25,26,100,100,0,7500,1
31674,26.59,26.51,25,26,100,100,0,7500,1
32684,25.94,26.45,25,26,100,100,0,7500,1
33694,26.61,26.4,25,26,100,100,0,7500,1
34704,26.77,26.41,25,26,100,100,0,7500,1
35714,26.74,26.45,25,26,100,100,0,7500,1
36724,25.96,26.5,25,26,100,100,0,7500,1
37734,26.01,26.48,25,26,100,100,0,7500,1
38744,26.35,26.43,25,26,100,100,0,7500,1
39754,26.34,26.41,25,26,100,100,0,7500,1
40764,25.94,26.39,25,26,100,100,0,7500,1
41774,25.75,26.35,25,26,100,100,0,7500,1
42784,25.75,26.21,25,26,100,100,0,7500,1
43794,25.76,26.13,25,26,100,100,0,7500,1
44804,25.75,26.02,25,26,99.9,99.9,0,7500,1
45814,25.37,25.94,25.1,26,99.9,99.9,0,7489,1
46824,25.09,25.88,25.39,26,99.5,99.5,0,7461,1
47834,25.7,25.74,25.8,26,99,99,0,7419,1
48844,25.67,25.7,26.31,26,98.4,98.4,0,7369,1
49854,25.71,25.69,26.71,26,97.9,97.9,0,7328,1
50864,25.02,25.65,27.14,26,97.3,97.3,0,7285,1
51874,25.45,25.57,28.01,26,96.5,96.5,0,7198,1
52884,25.46,25.52,28.36,26,95.8,95.8,0,7164,1
53894,25.3,25.49,29.15,26,95,95,0,7085,1
54904,25.44,25.48,29.53,26,94.2,94.2,0,7046,1
55914,25.65,25.48,30.05,26,93.5,93.5,0,6995,1
56924,25.97,25.51,30.59,26,92.8,92.8,0,6940,1
57934,26.1,25.62,30.45,26,92.5,92.5,0,6955,1
58944,26.5,25.71,30.98,26,92.2,92.2,0,6902,1
