epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.526,1.40002,2.75789,1.73186,0.75337,0.29635,0.41796,0.1996,1.45933,2.34407,1.827,0.000469005,0.000469005,0.000469005
2,118.912,1.34324,1.92399,1.66916,0.40809,0.54334,0.42311,0.21028,2.13676,2.29916,2.38346,0.00093598,0.00093598,0.00093598
3,178.33,1.36254,1.75337,1.6778,0.68239,0.63077,0.72289,0.36683,1.73841,1.83796,2.12189,0.00139352,0.00139352,0.00139352
4,237.592,1.34228,1.66857,1.66963,0.52828,0.52983,0.53448,0.25182,1.82435,2.22866,2.13227,0.00138656,0.00138656,0.00138656
5,296.926,1.30143,1.53075,1.61936,0.81283,0.80288,0.8375,0.47592,1.41559,1.36563,1.68818,0.00137241,0.00137241,0.00137241
6,355.938,1.25818,1.46638,1.59826,0.87923,0.72567,0.8462,0.43849,1.61191,1.46708,1.89486,0.00135826,0.00135826,0.00135826
7,415.307,1.24396,1.38222,1.57122,0.71636,0.88277,0.86044,0.4898,1.45723,1.20117,1.7048,0.00134412,0.00134412,0.00134412
8,474.47,1.2374,1.33606,1.56568,0.65873,0.57541,0.60131,0.21789,2.02474,1.61165,2.11783,0.00132997,0.00132997,0.00132997
9,534.08,1.22309,1.3147,1.55237,0.77436,0.82312,0.85599,0.33187,2.02209,1.27706,2.19416,0.00131582,0.00131582,0.00131582
10,593.657,1.18195,1.25835,1.51877,0.85385,0.66241,0.77554,0.31275,1.8261,1.70344,2.08999,0.00130168,0.00130168,0.00130168
11,652.909,1.18366,1.22589,1.52788,0.87737,0.8228,0.90367,0.57171,1.28671,0.88676,1.5722,0.00128753,0.00128753,0.00128753
12,712.406,1.15747,1.18367,1.50557,0.91673,0.87176,0.92692,0.60569,1.19483,0.82437,1.43001,0.00127338,0.00127338,0.00127338
13,772.047,1.13951,1.17247,1.47648,0.88683,0.82967,0.90651,0.52403,1.3779,0.87775,1.57031,0.00125923,0.00125923,0.00125923
14,831.782,1.1554,1.14069,1.49094,0.94305,0.85869,0.96041,0.63186,1.13595,0.72762,1.38844,0.00124509,0.00124509,0.00124509
15,891.155,1.13846,1.13499,1.48276,0.89701,0.78072,0.93313,0.60069,1.24667,0.94689,1.45256,0.00123094,0.00123094,0.00123094
16,950.708,1.11175,1.1241,1.46518,0.93659,0.85418,0.95138,0.61329,1.20046,0.77539,1.43803,0.00121679,0.00121679,0.00121679
